"Txhash","UnixTimestamp","DateTime","From","To","Value","ContractAddress","TokenName","TokenSymbol"
"0x6bffda2746c0c2767917e4bdebc2df7f14cd9a290be27990489fbc0b3bf9b59b","1638060476","2021-11-28 00:47:56","0xf8b4858b6ff5db2aeb36c88c8bdac71f5da417b1","0x45969104ef4561cee269b334d8cb7a99206a09e5","53.073655","0x7f5c764cbc14f9669b88837ca1490cca17c31607","USD Coin","USDC"
"0x6bffda2746c0c2767917e4bdebc2df7f14cd9a290be27990489fbc0b3bf9b59b","1638060476","2021-11-28 00:47:56","0x45969104ef4561cee269b334d8cb7a99206a09e5","0x752748deaf25cf58b60d4c4209d7f200aee4ef14","0.042818","0x7f5c764cbc14f9669b88837ca1490cca17c31607","USD Coin","USDC"
"0x6bffda2746c0c2767917e4bdebc2df7f14cd9a290be27990489fbc0b3bf9b59b","1638060476","2021-11-28 00:47:56","0x45969104ef4561cee269b334d8cb7a99206a09e5","0xc0e12fd0dfbae4e14dbbeb90e821ee3f71efbb87","21.409346","0x7f5c764cbc14f9669b88837ca1490cca17c31607","USD Coin","USDC"
"0x6bffda2746c0c2767917e4bdebc2df7f14cd9a290be27990489fbc0b3bf9b59b","1638060476","2021-11-28 00:47:56","0x7a512d3609211e719737e82c7bb7271ec05da70d","0x45969104ef4561cee269b334d8cb7a99206a09e5","0.004921688512083228","0x4200000000000000000000000000000000000006","Wrapped Ether","WETH"
"0x6bffda2746c0c2767917e4bdebc2df7f14cd9a290be27990489fbc0b3bf9b59b","1638060476","2021-11-28 00:47:56","0x45969104ef4561cee269b334d8cb7a99206a09e5","0x752748deaf25cf58b60d4c4209d7f200aee4ef14","0.063116","0x7f5c764cbc14f9669b88837ca1490cca17c31607","USD Coin","USDC"
"0x6bffda2746c0c2767917e4bdebc2df7f14cd9a290be27990489fbc0b3bf9b59b","1638060476","2021-11-28 00:47:56","0x45969104ef4561cee269b334d8cb7a99206a09e5","0xb0be5d911e3bd4ee2a8706cf1fac8d767a550497","31.558373","0x7f5c764cbc14f9669b88837ca1490cca17c31607","USD Coin","USDC"
"0x6bffda2746c0c2767917e4bdebc2df7f14cd9a290be27990489fbc0b3bf9b59b","1638060476","2021-11-28 00:47:56","0x7a512d3609211e719737e82c7bb7271ec05da70d","0x45969104ef4561cee269b334d8cb7a99206a09e5","0.006599092722537013","0x4200000000000000000000000000000000000006","Wrapped Ether","WETH"
"0x6bffda2746c0c2767917e4bdebc2df7f14cd9a290be27990489fbc0b3bf9b59b","1638060476","2021-11-28 00:47:56","0x45969104ef4561cee269b334d8cb7a99206a09e5","0xf8b4858b6ff5db2aeb36c88c8bdac71f5da417b1","0.011520781234620241","0x4200000000000000000000000000000000000006","Wrapped Ether","WETH"
"0x573d82f2510cbc3797c7d556fa91d2c0ad78235c9088d33c83c821883feef7e2","1638060998","2021-11-28 00:56:38","0xc08f967ed52dcffd5687b56485ee6497502ef91d","0x45969104ef4561cee269b334d8cb7a99206a09e5","52.944495","0x94b008aa00579c1307b0ef2c499ad98a8ce58e58","Tether USD","USDT"
"0x573d82f2510cbc3797c7d556fa91d2c0ad78235c9088d33c83c821883feef7e2","1638060998","2021-11-28 00:56:38","0x45969104ef4561cee269b334d8cb7a99206a09e5","0x752748deaf25cf58b60d4c4209d7f200aee4ef14","0.105677","0x94b008aa00579c1307b0ef2c499ad98a8ce58e58","Tether USD","USDT"
"0x573d82f2510cbc3797c7d556fa91d2c0ad78235c9088d33c83c821883feef7e2","1638060998","2021-11-28 00:56:38","0x45969104ef4561cee269b334d8cb7a99206a09e5","0xb0be5d911e3bd4ee2a8706cf1fac8d767a550497","52.838817","0x94b008aa00579c1307b0ef2c499ad98a8ce58e58","Tether USD","USDT"
"0x573d82f2510cbc3797c7d556fa91d2c0ad78235c9088d33c83c821883feef7e2","1638060998","2021-11-28 00:56:38","0x7a512d3609211e719737e82c7bb7271ec05da70d","0x45969104ef4561cee269b334d8cb7a99206a09e5","0.012647153092848098","0x4200000000000000000000000000000000000006","Wrapped Ether","WETH"
"0x573d82f2510cbc3797c7d556fa91d2c0ad78235c9088d33c83c821883feef7e2","1638060998","2021-11-28 00:56:38","0x45969104ef4561cee269b334d8cb7a99206a09e5","0xc08f967ed52dcffd5687b56485ee6497502ef91d","0.012647153092848098","0x4200000000000000000000000000000000000006","Wrapped Ether","WETH"
"0x9d087217751040576cc83a616db0b6231bb6b22593fcf1fc4213bad4192829b2","1638063357","2021-11-28 01:35:57","0x8455a816aac18e229f23cba44ea7f0198b2de7a3","0x45969104ef4561cee269b334d8cb7a99206a09e5","0.005232063723254444","0x4200000000000000000000000000000000000006","Wrapped Ether","WETH"
"0x9d087217751040576cc83a616db0b6231bb6b22593fcf1fc4213bad4192829b2","1638063357","2021-11-28 01:35:57","0x45969104ef4561cee269b334d8cb7a99206a09e5","0x752748deaf25cf58b60d4c4209d7f200aee4ef14","0.000010443240909709","0x4200000000000000000000000000000000000006","Wrapped Ether","WETH"
"0x9d087217751040576cc83a616db0b6231bb6b22593fcf1fc4213bad4192829b2","1638063357","2021-11-28 01:35:57","0x45969104ef4561cee269b334d8cb7a99206a09e5","0xc0e12fd0dfbae4e14dbbeb90e821ee3f71efbb87","0.005221620454854651","0x4200000000000000000000000000000000000006","Wrapped Ether","WETH"
"0x9d087217751040576cc83a616db0b6231bb6b22593fcf1fc4213bad4192829b2","1638063357","2021-11-28 01:35:57","0x7a512d3609211e719737e82c7bb7271ec05da70d","0x45969104ef4561cee269b334d8cb7a99206a09e5","20.985692","0x7f5c764cbc14f9669b88837ca1490cca17c31607","USD Coin","USDC"
"0x9d087217751040576cc83a616db0b6231bb6b22593fcf1fc4213bad4192829b2","1638063357","2021-11-28 01:35:57","0x45969104ef4561cee269b334d8cb7a99206a09e5","0x752748deaf25cf58b60d4c4209d7f200aee4ef14","0.041887","0x7f5c764cbc14f9669b88837ca1490cca17c31607","USD Coin","USDC"
"0x9d087217751040576cc83a616db0b6231bb6b22593fcf1fc4213bad4192829b2","1638063357","2021-11-28 01:35:57","0x45969104ef4561cee269b334d8cb7a99206a09e5","0x7571cc9895d8e997853b1e0a1521ebd8481aa186","20.943579","0x7f5c764cbc14f9669b88837ca1490cca17c31607","USD Coin","USDC"
"0x9d087217751040576cc83a616db0b6231bb6b22593fcf1fc4213bad4192829b2","1638063357","2021-11-28 01:35:57","0x7a512d3609211e719737e82c7bb7271ec05da70d","0x45969104ef4561cee269b334d8cb7a99206a09e5","0.00037763","0x68f180fcce6836688e9084f035309e29bf0a2095","Wrapped BTC","WBTC"
"0x9d087217751040576cc83a616db0b6231bb6b22593fcf1fc4213bad4192829b2","1638063357","2021-11-28 01:35:57","0x45969104ef4561cee269b334d8cb7a99206a09e5","0x8455a816aac18e229f23cba44ea7f0198b2de7a3","0.00037763","0x68f180fcce6836688e9084f035309e29bf0a2095","Wrapped BTC","WBTC"
"0x6a8e2a041299d419ecef251480b647e250ad09aa005161c3e86fb983e9e07e07","1638063357","2021-11-28 01:35:57","0x3f6c3e956965724e56326eae6809263ff7be14d6","0x45969104ef4561cee269b334d8cb7a99206a09e5","0.199999999999999999","0x4200000000000000000000000000000000000006","Wrapped Ether","WETH"
"0x6a8e2a041299d419ecef251480b647e250ad09aa005161c3e86fb983e9e07e07","1638063357","2021-11-28 01:35:57","0x45969104ef4561cee269b334d8cb7a99206a09e5","0x752748deaf25cf58b60d4c4209d7f200aee4ef14","0.000006731423434654","0x4200000000000000000000000000000000000006","Wrapped Ether","WETH"
"0x6a8e2a041299d419ecef251480b647e250ad09aa005161c3e86fb983e9e07e07","1638063357","2021-11-28 01:35:57","0x45969104ef4561cee269b334d8cb7a99206a09e5","0xc0e12fd0dfbae4e14dbbeb90e821ee3f71efbb87","0.003365711717327483","0x4200000000000000000000000000000000000006","Wrapped Ether","WETH"
"0x6a8e2a041299d419ecef251480b647e250ad09aa005161c3e86fb983e9e07e07","1638063357","2021-11-28 01:35:57","0x7a512d3609211e719737e82c7bb7271ec05da70d","0x45969104ef4561cee269b334d8cb7a99206a09e5","13.526795","0x7f5c764cbc14f9669b88837ca1490cca17c31607","USD Coin","USDC"
"0x6a8e2a041299d419ecef251480b647e250ad09aa005161c3e86fb983e9e07e07","1638063357","2021-11-28 01:35:57","0x45969104ef4561cee269b334d8cb7a99206a09e5","0x752748deaf25cf58b60d4c4209d7f200aee4ef14","0.000392470172966033","0x4200000000000000000000000000000000000006","Wrapped Ether","WETH"
"0x6a8e2a041299d419ecef251480b647e250ad09aa005161c3e86fb983e9e07e07","1638063357","2021-11-28 01:35:57","0x45969104ef4561cee269b334d8cb7a99206a09e5","0xe0e112e8f33d3f437d1f895cbb1a456836125952","0.196235086483016947","0x4200000000000000000000000000000000000006","Wrapped Ether","WETH"
"0x6a8e2a041299d419ecef251480b647e250ad09aa005161c3e86fb983e9e07e07","1638063357","2021-11-28 01:35:57","0x7a512d3609211e719737e82c7bb7271ec05da70d","0x45969104ef4561cee269b334d8cb7a99206a09e5","678.536678","0x7f5c764cbc14f9669b88837ca1490cca17c31607","USD Coin","USDC"
"0x6a8e2a041299d419ecef251480b647e250ad09aa005161c3e86fb983e9e07e07","1638063357","2021-11-28 01:35:57","0x45969104ef4561cee269b334d8cb7a99206a09e5","0x752748deaf25cf58b60d4c4209d7f200aee4ef14","1.262711","0x7f5c764cbc14f9669b88837ca1490cca17c31607","USD Coin","USDC"
"0x6a8e2a041299d419ecef251480b647e250ad09aa005161c3e86fb983e9e07e07","1638063357","2021-11-28 01:35:57","0x45969104ef4561cee269b334d8cb7a99206a09e5","0x7571cc9895d8e997853b1e0a1521ebd8481aa186","631.355507","0x7f5c764cbc14f9669b88837ca1490cca17c31607","USD Coin","USDC"
